time,dl_sinr_mean,dl_sinr_std,dl_sinr_min,dl_sinr_max,cellid,rnti,dl_pathloss,ul_pathloss,dl_tb_size_total,dl_tb_size_mean,dl_mcs_mean,dl_mac_transmissions,ul_tb_size_total,ul_tb_size_mean,ul_mcs_mean,ul_mac_transmissions,dl_pdcp_bytes,dl_pdcp_pkt_size_mean,dl_pdcp_packets,dl_pdcp_delay_mean,ul_pdcp_bytes,ul_pdcp_pkt_size_mean,ul_pdcp_packets,ul_pdcp_delay_mean,dl_rlc_bytes,dl_rlc_pkt_size_mean,dl_rlc_packets,dl_rlc_delay_mean,ul_rlc_bytes,ul_rlc_pkt_size_mean,ul_rlc_packets,ul_rlc_delay_mean,rx_sinr_mean,rx_cqi_mean,rx_corrupt_count,rx_bler_mean,rx_tb_size_total,dl_throughput_mbps,ul_throughput_mbps,flow_9_1_5_throughput_mbps,flow_9_1_5_delay_ms,flow_9_1_5_jitter_ms,flow_9_1_5_packets,flow_9_1_5_cell_id,flow_9_1_5_rnti,flow_9_1_5_lcid,flow_9_1_4_throughput_mbps,flow_9_1_4_delay_ms,flow_9_1_4_jitter_ms,flow_9_1_4_packets,flow_9_1_4_cell_id,flow_9_1_4_rnti,flow_9_1_4_lcid,flow_5_1_5_throughput_mbps,flow_5_1_5_delay_ms,flow_5_1_5_jitter_ms,flow_5_1_5_packets,flow_5_1_5_cell_id,flow_5_1_5_rnti,flow_5_1_5_lcid,flow_1_1_5_throughput_mbps,flow_1_1_5_delay_ms,flow_1_1_5_jitter_ms,flow_1_1_5_packets,flow_1_1_5_cell_id,flow_1_1_5_rnti,flow_1_1_5_lcid,flow_9_1_3_throughput_mbps,flow_9_1_3_delay_ms,flow_9_1_3_jitter_ms,flow_9_1_3_packets,flow_9_1_3_cell_id,flow_9_1_3_rnti,flow_9_1_3_lcid,flow_5_1_3_throughput_mbps,flow_5_1_3_delay_ms,flow_5_1_3_jitter_ms,flow_5_1_3_packets,flow_5_1_3_cell_id,flow_5_1_3_rnti,flow_5_1_3_lcid,flow_1_1_4_throughput_mbps,flow_1_1_4_delay_ms,flow_1_1_4_jitter_ms,flow_1_1_4_packets,flow_1_1_4_cell_id,flow_1_1_4_rnti,flow_1_1_4_lcid,flow_5_1_4_throughput_mbps,flow_5_1_4_delay_ms,flow_5_1_4_jitter_ms,flow_5_1_4_packets,flow_5_1_4_cell_id,flow_5_1_4_rnti,flow_5_1_4_lcid,flow_1_1_3_throughput_mbps,flow_1_1_3_delay_ms,flow_1_1_3_jitter_ms,flow_1_1_3_packets,flow_1_1_3_cell_id,flow_1_1_3_rnti,flow_1_1_3_lcid,flow_9_1_6_throughput_mbps,flow_9_1_6_delay_ms,flow_9_1_6_jitter_ms,flow_9_1_6_packets,flow_9_1_6_cell_id,flow_9_1_6_rnti,flow_9_1_6_lcid,flow_5_1_6_throughput_mbps,flow_5_1_6_delay_ms,flow_5_1_6_jitter_ms,flow_5_1_6_packets,flow_5_1_6_cell_id,flow_5_1_6_rnti,flow_5_1_6_lcid,flow_1_1_6_throughput_mbps,flow_1_1_6_delay_ms,flow_1_1_6_jitter_ms,flow_1_1_6_packets,flow_1_1_6_cell_id,flow_1_1_6_rnti,flow_1_1_6_lcid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.001,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.002,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.003,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.004,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.005,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.006,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.007,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.008,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-81.336175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,5,0.0,0.0,0.0,0,9,1,4,0.0,0.0,0.0,0,5,1,5,0.0,0.0,0.0,0,1,1,5,0.0,0.0,0.0,0,9,1,3,0.0,0.0,0.0,0,5,1,3,0.0,0.0,0.0,0,1,1,4,0.0,0.0,0.0,0,5,1,4,0.0,0.0,0.0,0,1,1,3,0.0,0.0,0.0,0,9,1,6,0.0,0.0,0.0,0,5,1,6,0.0,0.0,0.0,0,1,1,6
